title,company_name,location,contract_type,remote,salary,experience_min,management,competences,published_date
Chargé des finances et études RH (h/f),L'Haÿ-les-Roses,"Mairie, 41 rue Jean Jaurès, L'Haÿ-les-Roses (Val-de-Marne (94))",Emploi permanent - vacance d'emploi / Contractuel (max 2 ans),partiel,,,False,"['Gestion financière et budgétaire', 'Analyse de données RH', 'Utilisation des logiciels SEDIT RH, ASTRE finances, GECCO, Adelyce, Suite Office', 'Connaissances en ressources humaines et finances', ""Élaboration d'études RH (RSU, REHF, enquêtes)""]",2025-12-05
ADMINISTRATEUR SIRH - CHARGÉ DES ÉVOLUTIONS H/F,Conseil départemental de la Moselle,"Place J-M RAUSCH, Metz (Moselle (57))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Administration fonctionnelle du SIRH', 'Gestion de la paie (ASTRE RH)', 'Veille réglementaire et mise à jour des logiciels', 'Analyse et contrôle des données', 'Rédaction de documentations et procédures', 'Maîtrise des outils bureautiques (Word, Excel)', ""Connaissance des outils d'analyse de données (BI)"", 'Travail en équipe et autonomie', 'Communication écrite et verbale']",2025-12-16
Cartographe,Mairie SAINT-GERMAIN-EN-LAYE,"86 rue Léon Désoyer, Saint-Germain-en-Laye (Yvelines (78))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Maîtrise des outils SIG (QGIS, ArcGIS, MapInfo, etc.)', 'Connaissance des référentiels géographiques (IGN, BD TOPO, cadastre, PLU, etc.)', 'Rigueur et autonomie', 'Sens du service public', 'Aptitude au travail en équipe', 'Communication interservices']",2025-12-15
Chargé(e) de missions inondations / PAPI,Syndicat Mixte d'Aménagement et de Restauration des bassins du Loir et de l'Eure amont en Eure-et-Loir (SMAR Loir & Eure 28),"3 bis rue Saint-Michel, Bonneval, Eure-et-Loir (28)",Emploi permanent - création d'emploi,non,,2.0,False,"['Hydraulique fluviale', 'Métrologie', 'Gestion du risque et gestion de crise', 'Politiques publiques associées', 'Marchés publics', 'Réglementation liée aux ouvrages hydrauliques', ""Loi sur l'eau""]",2025-12-24
Chargée d'études chaussée F/H,Conseil Départemental de Seine et Marne,Melun (Seine-et-Marne (77)),Emploi permanent - vacance d'emploi,partiel,,,False,"['Maîtrise du logiciel ALIZE', 'Expertise en techniques routières', 'Sens du travail en équipe', 'Bon relationnel', 'Force de proposition', ""Esprit d'initiative"", 'Capacité à rendre compte', 'Veille réglementaire', 'Aptitude à travailler en mode projet']",2025-12-23
Chargé(e) d'études naturalistes (entomologie - herpétologie),SYNDICAT MIXTE DU PARC RÉGIONAL DE CHARTREUSE,"112 Rue Léon Auscher, Saint-Pierre-de-Chartreuse (Isère (38))",Emploi temporaire (CDD 6 mois),partiel,Rémunération statutaire + régime indemnitaire de la fonction publique territoriale suivant expérience et ancienneté,1.0,False,"['Formation supérieure en environnement, sciences de la vie, écologie', 'Connaissances naturalistes en entomologie (Odonates, Rhopalocères, Orthoptères) et herpétologie (Amphibiens, Reptiles)', 'Méthodes d’inventaire, de capture et d’identification pour les taxons cités', 'Maîtrise de QGIS et logiciels de cartographie numérique', 'Pédagogie et animation nature pour publics variés', 'Utilisation de logiciels bureautiques et de gestion de données', 'Permis B et véhicule personnel indispensable']",2025-12-01
Chargé(e) d'études Eau et Assainissement,Communauté de communes Riom Limagne et Volcans,Riom (Puy-de-Dôme (63)),Emploi permanent - vacance d'emploi,partiel,Rémunération statutaire + régime indemnitaire + chèques-déjeuner,,False,"['Connaissance du fonctionnement des collectivités et des services d’eau et d’assainissement', 'Maîtrise des procédures SAGE, SDAGE, PGRE, enquêtes publiques', 'Connaissance juridique et réglementaire dans le domaine des eaux', 'Maîtrise des outils informatiques (tableur, traitement de texte, SIG, diaporama)', 'Capacité à organiser et suivre des études', 'Autonomie et rigueur', 'Esprit de synthèse et travail en équipe', 'Capacités rédactionnelles']",2025-12-22
COORDINATEUR DU CONTRAT LOCAL DE SANTE INTERCOMMUNAL H/F,MAIRIE DE VILLENEUVE-D'ASCQ,"2 rue Pasteur Mairie d'Annappes, Villeneuve-d'Ascq (Nord (59))",Emploi permanent - création d'emploi,,,,True,"['Pilotage de projets', 'Gestion de projet', 'Animation de réunions', 'Rédaction et synthèse', 'Connaissances juridiques et financières', 'Maîtrise des outils informatiques (Word, Excel, PowerPoint)', 'Travail en réseau et partenariats', ""Évaluation et suivi d'actions""]",2025-12-19
Chargé.e de mission éco-pastoralisme,PARC NATUREL REGIONAL DES CAUSSES DU QUERCY,"Les Canavals - BP 10, Cœur de Causse (Lot (46))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Animation territoriale', 'Gestion de projets collectifs', 'Pastoralisme', 'Écologie', 'Montage de dossiers de financement', 'Suivi technique et financier', 'Coordination de prestataires', 'Appui administratif']",2025-12-19
Chargé ou chargée d'études,Perpignan méditerranée métropole,"11 boulevard Saint-Assiscle - BP 20641, Perpignan (Pyrénées-Orientales (66))",Emploi permanent - création d'emploi,non,,,False,"['Réglementation liée aux parcs de stationnement au sol', 'Réglementation relative aux infrastructures réseaux de télécommunication', 'Règles budgétaires et comptables de la comptabilité publique', 'Code des Marchés Publics', 'Planification et coordination de projets', 'Gestion de bases de données et indicateurs', ""Maîtrise de l'outil informatique"", 'Communication et concertation publique']",2025-12-18
Chargé d'études en urbanisme (h/f),Métropole Nice Côte d'Azur,"455 Promenade des Anglais, Nice (Alpes-Maritimes (06))",Emploi permanent - vacance d'emploi (contractuel possible à titre dérogatoire),,,,False,"[""Maîtrise du cadre législatif et règlementaire de l'urbanisme"", 'Connaissance du fonctionnement des collectivités territoriales', 'Maîtrise des outils informatiques et logiciels métiers', ""Capacités rédactionnelles, d'analyse et de synthèse"", 'Travail en équipe', 'Rigueur et organisation']",2025-12-17
Gestionnaire du groupement d'achat d'énergies,Syndicat Départemental d'Énergies de l'Ardèche,"283 chemin d'Argevillières, BP 616, 07006 Privas, Ardèche (07)",Emploi permanent - vacance d'emploi,partiel,Selon grille indiciaire,,False,"['Maîtrise des outils bureautiques (Excel, suite Office)', 'Connaissance du fonctionnement des collectivités territoriales', 'Connaissance du cadre administratif et technique des énergies', ""Capacité d'analyse et de synthèse"", 'Rigueur professionnelle et travail structuré', 'Autonomie et respect des délais', 'Discrétion et confidentialité']",2025-11-20
Administrateur (trice) de Base de Données,AUTRES DE COLLECTIVITE TERRITORIALE DE GUYANE,Guyane,Emploi permanent - vacance d'emploi,,,,False,"['Gestion et maintenance des bases de données', 'Optimisation et performance', 'Soutien technique et formation des utilisateurs', 'Analyse et extraction de données', 'Veille technologique et mise en conformité', 'Collaboration avec les équipes']",2025-09-29
Ingénieur Hydraulicien et Conduite d’Opération EP/EU/AEP (H/F),CA CAP ATLANTIQUE,Guérande (Loire-Atlantique (44)),Emploi permanent - création d'emploi,partiel,"traitement indiciaire selon grilles de la fonction publique territoriale, IFSE 1060€, prime annuelle",,False,"['Modélisation hydraulique réseaux (Infoworks ICM, Mike Urban ou PCSWMM)', 'Connaissance de l’environnement juridique et réglementaire des collectivités territoriales', 'Maîtrise des marchés publics', 'Maîtrise des outils bureautiques et logiciels de DAO (AutoCAD)', 'Animation et travail en équipe', 'Rédaction et esprit de synthèse', 'Permis B']",2025-12-08
Chargé(e) de mission,CENTRE DEPTAL DE GESTION DE LA DORDOGNE,"1 Bd de saltgourde, Marsac-sur-l'Isle (Dordogne (24))",Emploi permanent - création d'emploi,partiel,rémunération indiciaire + régime indemnitaire (IFSE+CIA),,False,"['Connaissance approfondie du statut de la fonction publique territoriale', 'Maîtrise des outils informatiques', 'Capacité d’analyse et de synthèse', 'Capacités de communication et de négociation', 'Sens de la méthode et de l’organisation', 'Sens de l’éthique et de la neutralité', 'Permis B']",2025-12-03
Conseiller Technique,LE CCAS DE MARSEILLE,Marseille (Bouches-du-Rhône (13)),Emploi permanent - vacance d'emploi,,,,False,"['Connaissance approfondie des politiques publiques et de leurs acteurs', 'Gestion administrative et financière', 'Expertise traitement statistique et outils informatiques (Business Object)', 'Maîtrise des techniques rédactionnelles', 'Capacité d’analyse et de synthèse', 'Animation et communication', 'Adaptabilité', 'Organisation et sens des priorités', 'Qualités relationnelles (leadership, esprit d’équipe, discrétion)']",2025-12-02
délégué à la protection des données,AUTRES DE COLLECTIVITE TERRITORIALE DE GUYANE,"Cayenne, Guyane (973)",Emploi permanent - vacance d'emploi,,,,False,"['RGPD', 'conformité', ""administration des systèmes d'information"", 'sensibilisation', 'représentation auprès de la CNIL']",2025-09-19
Conseiller en énergie partagée (H/F),METROPOLE EUROPEENNE DE LILLE,"2 Boulevard des cités unies, Lille (Nord (59))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Analyse et suivi des consommations énergétiques', 'Élaboration et pilotage de plans d’actions énergie-climat', 'Montage technique et financier de projets', 'Connaissance des enjeux de la transition énergétique', 'Vulgarisation de sujets techniques', 'Travail en transversalité', 'Veille réglementaire et technologique']",2025-12-23
Chargé du pilotage budgétaire (h/f),Département des Hauts-de-Seine,"Nanterre, Hauts-de-Seine (92)",Emploi permanent - vacance d'emploi (ouvert aux contractuels),non,,,False,"[""Connaissance des spécificités d'une collectivité territoriale et des finances publiques locales"", 'Qualités rédactionnelles', 'Rigueur', 'Curiosité', 'Aisance au travail en autonomie et en équipe', ""Esprit d'initiative"", ""Appétence pour l'utilisation des logiciels de bureautique et le traitement de données""]",2025-11-17
Chargé de mission DGS,Conseil départemental de l'Essonne,"Hôtel du Département, Évry-Courcouronnes (Essonne)",Emploi permanent - vacance d'emploi (ouvert aux contractuels),non,Rémunération statutaire + régime indemnitaire + primes annuelles + participation employeur à la mutuelle et à la prévoyance + CNAS,,False,"['Veille institutionnelle et prospective', 'Pilotage de projets transversaux', ""Organisation et suivi d'instances stratégiques"", 'Travail en équipe et transversalité', ""Maîtrise de l'informatique"", 'Connaissances des collectivités territoriales', 'Autonomie et réactivité', 'Discrétion et initiative']",2025-11-19
Chargé(e) de Projet Technique(H/F) du SAGE,SYNDICAT MIXTE (SM) INSTITUTION INTERCOMMUNALE DES WATERINGUES,"2 Boulevard Pierre Guillain, Saint-Omer (Pas-de-Calais (62))",Contrat de projet,non,,,False,"['Connaissance en aménagement du territoire et règlementation liée à l’eau', 'Milieux aquatiques et associés', 'Gestion intégrée de l’eau', 'Gouvernance des politiques de l’eau', 'Méthodologie d’inventaire, cartographie et catégorisation de zones humides', 'Animation d’un SAGE', 'SIG (Qgis)', 'Pack Office', 'Permis B']",2026-01-06
Administrateur fonctionnel du système d'information financière (h/f),Conseil départemental de la marne,"2 bis rue de jessaint - CS 30454, Châlons-en-Champagne (Marne (51))",Emploi permanent - vacance d'emploi,non,,,False,"['Outil informatique (logiciels métier : SEDIT GF et subventions, SAP business Objects, etc.)', 'Environnement réglementaire et financier des collectivités territoriales (nomenclature comptable M57)', 'Code des marchés publics', 'Fonctionnement général des collectivités territoriales', 'Méthodes de conduite de projet', 'Aisance relationnelle et travail en équipe', 'Capacité de synthèse', 'Autonomie, rigueur et organisation', 'Adaptabilité']",2026-01-05
Directeur/Directrice Solutions - Innovations Numériques,GRAND POITIERS COMMUNAUTE URBAINE,"84 rue des Carmélites, Poitiers (Vienne (86))",Emploi permanent - vacance d'emploi,,Rémunération statutaire + régime indemnitaire + prime annuelle + participation mutuelle + prévoyance + CASC,10.0,True,"['Connaissance des enjeux sectoriels des collectivités locales', 'Maîtrise des normes de sécurité et notamment de cybersécurité', 'Maîtrise large des environnements techniques', 'Connaissance des outils et techniques de la gestion de projets', ""Excellentes connaissances de l'activité de la collectivité et de sa stratégie"", 'Bonne connaissance des marchés publics', 'Compétences managériales', ""Sens de l'écoute, du dialogue et de la communication"", 'Pédagogie et capacité à vulgariser des suites techniques']",2025-12-23
Evaluateur (H/F),Région Hauts-de-France,"Lille, Nord (59)",Emploi permanent - vacance d'emploi,partiel,,,False,"[""Méthodes d'évaluation des politiques publiques"", 'Gestion de projets', 'Analyse de données et statistiques', 'Rédaction de rapports et synthèses stratégiques', 'Connaissance du fonctionnement des collectivités territoriales', 'Maîtrise des outils bureautiques', 'Travail en transversalité et en mode projet', 'Communication et sens pédagogique']",2025-12-12
Administrateur infrastructure système / exploitation,Service Départemental d'Incendie et de Secours de l'Isère (SDIS 38),"24, Rue René Camphin, Fontaine (Isère (38))",Emploi permanent - vacance d'emploi,partiel,Rémunération statutaire (cadre d’emplois des ingénieurs) + régime indemnitaire (767 euros bruts mensuel) + prime annuelle (environ 1 mois brut de salaire),,False,"['Administration des serveurs physiques et virtuels', 'Virtualisation (VMware, Nutanix, Proxmox)', 'Sécurisation des systèmes (pare-feux, Windows, Linux)', 'Gestion des bases de données', 'Automatisation des tâches', ""Plan de reprise et continuité d'activité"", 'Résolution de tickets complexes (réseau, utilisateur final)', 'Rédaction de procédures et comptes-rendus']",2025-12-31
Chargé.e d'études Mobilité Réglementaire et Environnement,Conseil départemental de la Gironde,"3, rue Corps Franc Pommiès, Bordeaux (Gironde (33))",Emploi permanent - vacance d'emploi (contrat possible jusqu'à 3 ans renouvelable),non,,,False,"[""Pilotage d'études"", 'Mobilité réglementaire', 'Environnement', ""Gestion de projets d'infrastructures"", ""Coordination d'équipes"", ""Maîtrise d'ouvrage""]",2026-01-06
Chargé d'inspection et de contrôle qualité des établissements et services (H/F),CONSEIL DEPARTEMENTAL DE LA SEINE MARITIME,"QUAI JEAN MOULIN, Rouen (Seine-Maritime (76))",Emploi permanent - vacance d'emploi (ouvert aux contractuels pour 2 ans max),partiel,,,False,"['Santé publique', 'Droit', 'Management des ESSMS', 'Contrôle ou inspection', 'Analyse et synthèse', 'Rédaction de rapports juridiquement sécurisés', 'Élaboration de tableaux de bord', 'Maîtrise des outils informatiques', 'Travail en équipe', 'Permis B (déplacements fréquents)']",2026-01-06
TECHNICIEN ASSAINISSEMENT ET GEMAPI,Communauté de Communes Plaines et Monts de France,"6 rue du Général de Gaulle, Dammartin-en-Goële, Seine-et-Marne (77)",Emploi permanent - création d'emploi,partiel,,,False,"['Connaissances techniques et réglementaires en assainissement et GEMAPI', 'Conduite de projet et ingénierie', 'Maîtrise des outils bureautiques et applications informatiques', 'Aisance relationnelle et rédactionnelle', ""Capacités d'initiative et d'animation"", 'Veille réglementaire']",2026-01-06
"Responsable des Systèmes d’Information, chef de projet numérique",Commune de Saint-Claude,Saint-Claude (Guadeloupe (971)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),,,,True,"['Pilotage des systèmes d’information', 'Administration des systèmes et réseaux', 'Cybersécurité et conformité RGPD', 'Gestion budgétaire et marchés publics', 'Management d’équipe', 'Conduite de projet', 'Architecture SI et virtualisation', 'Microsoft 365', 'Sauvegardes et continuité de service', 'Environnement des collectivités territoriales']",2025-12-24
Chef(fe) de projet assistance tierce maintenance applicative (F/H),CONSEIL DEPARTEMENTAL DE LA HAUTE-VIENNE,"11 rue François Chénieux, 87000 Limoges, Haute-Vienne (87)",Emploi permanent - vacance d'emploi,partiel,,,False,"['Maîtrise des méthodes de modélisation des systèmes d’information', 'Pilotage de projets', 'Connaissances en matière de marchés et finances publics', 'Maîtrise des outils bureautiques et informatiques', ""Aptitudes rédactionnelles et esprit d'analyse"", 'Capacité à travailler en transversalité', 'Développements informatiques (Restitutions, BI, interfaces inter-applicatives)', 'Gestion de la maintenance applicative et des anomalies']",2025-12-24
Responsable de la Mission Dialogue social et temps de travail,CONSEIL DEPARTEMENTAL DE LA VIENNE,Poitiers (Vienne),Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,True,"['Connaissance du statut de la fonction publique territoriale', 'Maîtrise des outils informatiques', 'Travail en mode projet', 'Animation et pilotage de groupes de travail', 'Conduite de réunions', 'Veille réglementaire', 'Capacités rédactionnelles', 'Diplomatie et qualités relationnelles', 'Sens de la communication']",2025-12-22
Responsable des Systèmes d’Information,Communauté de Communes Roumois Seine,"Grand-Bourgtheroulde, Eure (27)",Emploi permanent - création d'emploi (ouvert aux contractuels pour 3 ans renouvelable),partiel,"Rémunération indiciaire, régime indemnitaire",,True,"[""Management d'équipe"", ""Architecture des systèmes d'information"", ""Réseaux et systèmes d'exploitation"", 'Conduite de projet', 'Cybersécurité', 'Gestion budgétaire et commande publique', 'Rédaction de cahiers des charges']",2025-12-21
Contrôleur ou contrôleuse de gestion en charge notamment du système d'information décisionnel,CONSEIL DEPARTEMENTAL DE LOIRE-ATLANTIQUE,"3 quai Ceineray, Nantes (Loire-Atlantique (44))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Maîtrise des méthodes et outils du contrôle de gestion', 'Maîtrise des outils informatiques et logiciels de business intelligence (Qlik Sense)', 'Connaissance des métiers de la collectivité et des politiques publiques', ""Esprit d'analyse et de synthèse"", ""Aisance relationnelle et capacité d'écoute"", 'Aptitudes pédagogiques', 'Travail en transversalité et en autonomie']",2025-12-31
Chargé de mission de la consolidation de l'interface numérique départementale guichet unique,SDIS du Nord,"Rue du Podium, Villeneuve-d'Ascq (Nord (59))",Emploi permanent - création d'emploi,,,,True,"['Gestion de projets', 'Analyse et diagnostic', 'Pilotage de projets transversaux', ""Coordination d'actions"", 'Rédaction de documents et rapports', ""Utilisation d'outils informatiques et logiciels du SIS""]",2025-12-31
Chargé d'études : Data Analyst (h/f),Syndicat des eaux d'Ile-de-France (SEDIF),"79, boulevard Saint-Germain, Paris",CDD (3 ans renouvelable) / Emploi permanent - création d'emploi,partiel,,,False,"['Power BI / QlikView', 'ArcGIS / QGIS', 'FME', 'SQL', 'Python', 'PostgreSQL', 'Géomatique / Data Management', 'Analyse de données', 'Data Visualisation']",2025-12-30
DATA ANALYSTE,COLLECTIVITE TERRITORIALE DE MARTINIQUE,"RUE GASTON DEFFERRE, Fort-de-France, Martinique (972)",Emploi permanent - vacance d'emploi,,,,False,"[""Maîtrise des techniques statistiques et méthodes d'analyse quantitative et qualitative"", ""Maîtrise des logiciels de traitement et d'analyse de données"", 'Maîtrise des outils bureautiques et collaboratifs', 'Connaissances du RGPD', 'Connaissances du fonctionnement des Collectivités territoriales', 'Travail en transversalité', 'Conception et organisation de bases de données', ""Rédaction d'avis et rapports d'aide à la décision"", ""Réalisation d'études techniques et économiques"", 'Rigueur', ""Sens de l'organisation et de l'initiative"", ""Sens d'analyse"", 'Esprit de synthèse']",2025-12-15
ANALYSTE DES DONNEES,Communauté d'Agglomération Melun Val de Seine,Dammarie-les-Lys (Seine-et-Marne (77)),Emploi permanent - création d'emploi,partiel,,,False,"['SQL', 'OpenData', 'SIG (GEO, QGIS, Mapinfo)', 'Power BI', 'Excel', 'Data visualisation', 'Analyse statistique et spatiale', 'Gestion de bases de données', 'HTML/CSS/PHP (plus)']",2025-11-13
Analyste de données (H/F),Service Départemental d'Incendie et de Secours de Val-d'Oise (SDIS 95),"33 Rue des Moulines, Neuville-sur-Oise (Val-d'Oise (95))",CDD 36 mois renouvelable,partiel,Selon grilles indiciaires du grade et régime indemnitaire du poste,,False,"['Power BI', 'BO', 'Excel avancé', 'SQL', 'Visualisation de données', 'Analyse et synthèse', 'Rigueur', 'Vulgarisation des résultats']",2025-12-17
Rédacteur ou technicien en charge du déploiement de l'intelligence artificielle,Communauté de communes de Montesquieu,"1 allée Jean Rostand, Martillac (Gironde (33))",Emploi permanent - création d'emploi,,rémunération statutaire et avantages sociaux,,False,"['Maîtrise du fonctionnement et de l’organisation des collectivités territoriales', 'Connaissance des enjeux de l’IA', 'Maîtrise du cadre juridique', 'Conduite de projets', 'Travail en transversalité et en mode projet', 'Vulgarisation des concepts techniques', 'Accompagnement au changement']",2025-12-26
CONTRÔLEUR DE GESTION - ANALYSTE DE DONNÉES (F/H),Communauté Urbaine Caen La Mer,"16 rue Rosa Parks - CS 52700, Caen (Calvados (14))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Contrôle de gestion', 'Analyse financière', 'Data visualisation (Power BI)', 'Comptabilité publique et privée', 'Comptabilité analytique', 'Gestion des bases de données', 'Pilotage de la performance', 'Maîtrise des règles budgétaires', 'Esprit de synthèse et pédagogie']",2025-12-22
Chargé de mission data et administrateur applicatif,MONTPELLIER MEDITERRANEE METROPOLE,"50 place Zeus, Montpellier (Hérault (34))",Emploi permanent - vacance d'emploi,,,,False,"['Big Data', 'Outils d’analyse (Excel, BI, SAS, Python, Tableau/PowerBI, DigDash)', 'Gestion de projets', 'Méthodologie Agile', 'RGPD', 'Conduite du changement', 'Veille technologique', 'Analyse de données', 'Reporting']",2026-01-06
"Référente en charge de la Gouvernance des Données, de la Mutualisation et du Développement Coopératif",COMMUNAUTE DE COMMUNES DU CANTON D'ERSTEIN,"1 rue des 11 communes - BP 50057, Benfeld (Bas-Rhin (67))",Emploi permanent - création d'emploi,non,,,True,"['Gouvernance des données', 'RGPD/DPO', 'Mutualisation', 'Veille réglementaire', 'Coordination de projets', 'Rédaction de rapports', 'Gestion administrative']",2025-12-31
Administrateur de bases de données et système décisionnel,CONSEIL DEPARTEMENTAL DE LA VIENNE,Poitiers (Vienne),CDD,partiel,,2.0,False,"['Maîtrise des SGBD (Oracle, SQL Server, PostgreSQL, etc.)', 'Langage SQL', 'Environnement Linux', 'Langages de script (Python)', 'Outils ETL/BI (Business Objects, BODS)', 'Gestion de projet (Agile, cycle en V)']",2025-12-19
Chef de projet IA et DATA (F/H),CONSEIL DEPARTEMENTAL DE LA SEINE MARITIME,"QUAI JEAN MOULIN, Rouen (Seine-Maritime (76))",Emploi permanent - vacance d'emploi,partiel,,,True,"['Pilotage de projets complexes', 'Maîtrise des fondamentaux de la data (modélisation, qualité, gouvernance, sécurité)', 'Maîtrise des architectures Data & Analytics', 'Maîtrise des concepts IA/ML (cas d’usage, modèles, Machine Learning)', 'Conformité réglementaire (RGPD, HDS)', 'Maîtrise des outils DELIBIA, COPILOT, PRISME AI', 'Excellente communication et leadership transversal']",2025-12-19
Data Manager,SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS,"95 AV HENRI JAUBERT, Digne-les-Bains (Alpes-de-Hte-Provence (04))",Emploi permanent - vacance d'emploi (ouvert aux contractuels),non,,,False,"['Maîtrise des outils de gestion de bases de données (SQL, PostgreSQL, Oracle, etc.)', 'Connaissances des outils d’intégration (ETL, API, connecteurs, webservices)', 'Pratique des outils de datavisualisation (Power BI, Tableau, Data Studio ou équivalents)', 'Langages d’analyse (Python)', 'Cybersécurité et protection des données', 'Extraction et exploitation de données', 'Création de rapports']",2025-12-16
CHEF DE PROJET DONNÉES (F/H),SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, Rhône (69)",Emploi permanent - création d'emploi,partiel,,5.0,True,"['Pilotage de projets SI', 'Gouvernance des données', 'Architecture de gestion de la donnée', 'Modélisation et analyse', 'Communication avec différents publics', 'Veille métiers et technologies']",2025-12-08
Administrateur Data et CRM,ETABLISSEMENT PUBLIC DU MUSEE DU LOUVRE,"34 Quai François MITTERRAND, Paris",Emploi permanent - vacance d'emploi,partiel,,,False,"['Gestion et gouvernance de base de données', 'Systèmes de gestion de bases de données clients', 'Outils de CRM', 'Plateformes marketing', 'Analyse d’audience et de navigation', 'Excel (fonctions expertes)', 'RGPD']",2025-12-15
Technicien du service DATA et SIG,COMMUNAUTE DE COMMUNES DE LA VALLÉE DORÉE,"1 RUE DE NOGENT, Laigneville (Oise (60))",Emploi permanent - vacance d'emploi,,,,False,"[""Connaissance approfondie des Systèmes d'Information Géographique (SIG)"", 'Gestion de bases de données géographiques', ""Maîtrise de l'outil informatique"", 'Analyse de données', ""Utilisation d'appareils de mesure topographique"", 'Sens du relationnel', ""Rigueur et sens de l'organisation""]",2025-12-13
Chef(fe) du service valorisation de la donnée,SDIS des Yvelines,"56 avenue de Saint Cloud, Versailles (Yvelines (78))",Emploi permanent - vacance d'emploi,,Statutaire + régime indemnitaire (IFSE) + prime annuelle (CIA),5.0,True,"['Maîtrise des outils bureautiques (tableur, base de données)', 'Logiciels de data-visualisation et requêtes (Qlik View, Qlik Sense, Business Object)', 'Analyse, synthèse et restitution de l’information', 'Encadrement d’équipe', 'Contrôle de gestion', ""Fonctionnement d'un SDIS"", 'Comptabilité analytique', 'Pilotage et aide à la décision']",2025-12-22
Gestionnaire de données et bilans (h/f),Syndicat interdépartemental pour l'assainissement de l'agglomération parisienne (SIAAP),Maisons-Laffitte (Yvelines (78)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"[""Connaissances des procédés de traitement de l'eau"", 'Sens de la rigueur', 'Sens du contact', ""Esprit d'initiative et d'analyse"", ""Maîtrise de l'outil informatique (bureautique et système de supervision)""]",2025-11-07
Chargé d’analyse de données et de reporting,SYTRAL MOBILITES,"21 BOULEVARD VIVIER MERLE, Lyon (Rhône (69))",Emploi permanent - création d'emploi,,,5.0,False,"['Analyse de données', 'Reporting', 'Gestion de bases de données', ""Pilotage d'indicateurs"", 'Connaissance des transports publics', 'Outils SI (billettique, comptage, SAE)', 'Excel, PowerPoint, Word', 'Conduite de projets', 'Négociation']",2025-12-29
Chargé(e) du contrôle et de la gestion des données,Syndicat mixte collecte déchets (Syndicat du Bois de l'Aumône),Riom (Puy-de-Dôme (63)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,Barème des traitements des fonctionnaires (RIFSEEP),,False,"['Maîtrise des outils bureautiques (Pack Office, Internet)', 'Gestion de bases de données (Oracle, Access)', 'Outils de reporting (Business Objects, Crystal Report)', 'Outils de traitement géographique (ArcGIS, QGIS)', ""Administration de systèmes d'information"", 'Méthodes et normes ITIL', 'Connaissance des réglementations CNIL', 'Capacité à former des utilisateurs', 'Esprit de synthèse et rédactionnel', ""Connaissance du domaine de l'environnement""]",2025-12-24
UN ANALYSTE D’EXPLOITATION INFORMATIQUE (H/F),Conseil départemental du Vaucluse,"13 Route de Lyon, Avignon (Vaucluse (84))",Emploi permanent - vacance d'emploi (contractuel possible à titre dérogatoire),partiel,,,False,"['exploitation avancée des environnements serveurs Windows et Linux', 'bonnes pratiques d’exploitation de serveurs virtualisés (VMware)', 'maîtrise d’Active Directory', 'ordonnanceur (ex. Visual TOM)', 'sauvegarde (ex. Commvault)', 'supervision (ex. EV Observe)', 'langages de scripting (Shell, PowerShell)', 'serveurs d’applications, web et conteneurisation (Apache/Tomcat, NGINX, Docker, IIS)', 'bases de données (Oracle, MySQL, MariaDB, PostgreSQL, SQL Server)', 'méthodologies ITIL', 'normes de sécurité et bonnes pratiques d’exploitation']",2025-12-22
"Chargé de la mission Data, simplification, innovation, qualité de vie au travail (h/f)",Département des Hauts-de-Seine,"14 Rue Hoche, Puteaux (Hauts-de-Seine (92))",Emploi permanent - création d'emploi,,,,False,"['SQL', 'Python', 'Power BI', 'Big Data', 'Gestion de projet (Agile, Scrum)', 'Architectures data (bases de données, ETL, cloud)', 'Développement applicatif', 'Innovation publique', 'Transformation numérique']",2025-12-05
Analyste développeur (h/f),Conseil départemental de la marne,"2 bis rue de jessaint - CS 30454, Châlons-en-Champagne (Marne (51))",Emploi permanent - vacance d'emploi,partiel,,,False,"['PHP/Symfony', 'API', 'Bases de données', 'Outils web', 'Documentation et qualité logicielle', 'Méthodologie et rigueur', 'Travail en équipe']",2026-01-05
JURISTE PROTECTION DES DONNÉES / TECHNOLOGIE DE L'INFORMATION / PROPRIÉTÉ INTELLECTUELLE (F/H),SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle 69003, Lyon (Rhône (69))",Emploi permanent - création d'emploi,partiel,,2.0,False,"['Droit du numérique', 'RGPD', 'Protection des données personnelles', ""Droit de l'innovation"", 'Cybersécurité', 'Propriété intellectuelle', 'Contrats IT', 'Veille réglementaire']",2025-12-09
